ticker,E_score,S_score,G_score,ESG_score,Sectors,Market_Cap,Beta_1Y
ACB,26.8,66.44,21.12,38.12,Health Care,704395399.3,1.84050534
ABCL,8.21,5.17,35.03,16.13,Health Care,2296124255,1.279396724
BEAT,8.79,5.17,31.16,15.04,Health Care,12584856.42,2.40016555
AMTB,36.58,38.93,47.97,41.16,Financials,907868329.2,0.803438851
ASO,30.34,12.01,55.85,32.73,Consumer,3297059690,1.585886589
APEI,65.15,75.58,72.9,71.21,Consumer,367321737,0.616508428
BLDP,98.83,75.58,82.22,85.55,Industrials,2533889721,1.626713013
AWRE,59.17,30.98,49.95,46.7,Information Technology,58650524.6,0.547713754
AAL,96.3,99.95,73.3,89.85,Industrials,12054995579,1.579914953
ACLS,93.11,87.72,94.17,91.67,Information Technology,1858554457,2.425801216
ALGT,48.58,79.99,19.86,49.48,Industrials,2821396384,1.427837436
AUBN,16.92,38.93,39.46,31.77,Financials,107408294.3,0.184227501
AZN,97.52,94.43,60.94,84.3,Health Care,2.05862E+11,0.267881793
ADES,80.5,24.21,35.92,46.88,Utilities,112480770,0.538962779
BGFV,39.92,70.74,56.08,55.58,Consumer,338656041.2,1.67030943
ARTL,8.79,5.17,33.28,15.75,Health Care,16302810.41,1.521061753
ADUS,66.21,45.59,70.47,60.76,Health Care,1354980408,1.259483026
AKBA,29.33,54.03,67.22,50.19,Health Care,79010988.79,1.66454152
AVGR,5.32,30.98,17.07,17.79,Health Care,14331952.8,1.166444718
BCBP,28.17,16.13,60.28,34.86,Financials,320148400,0.392393229
ATEC,32.17,83.84,66.97,60.99,Health Care,1119662379,1.603459031
BBBY,95.69,79.58,95.09,90.12,Consumer,1095484225,1.726602288
ANGO,33.23,30.98,62.36,42.19,Health Care,819035733.1,1.148859607
AGNC,73.56,2.08,42.35,39.33,Financials,5860960000,0.657470799
AMAT,99.49,99.42,86.63,95.18,Information Technology,99797092368,1.897002842
APTO,12.74,5.17,41.03,19.65,Health Care,110670526.8,1.512014777
ARCB,88.91,98.73,82.88,90.17,Industrials,1858943598,1.791599916
ALRM,76.75,30.98,0.91,36.21,Information Technology,3119935675,1.227218178
ATRA,54.61,83.84,30.55,56.33,Health Care,648235738.4,1.517869692
ABCM,83.99,94.43,11.5,63.31,Health Care,3576057108,0.920360301
ACBI,28.22,75.58,36.07,46.62,Financials,11613679733,0.780660238
BECN,92.76,88.6,68.54,83.3,Industrials,4265046402,1.228593673
AMNB,27.81,38.93,84.09,50.28,Financials,372952878,0.553169586
BLFS,24.21,54.03,47.01,41.75,Health Care,558756122.7,1.826271244
BJRI,51.11,54.03,95.44,66.86,Consumer,683246587.7,1.347847594
APEN,17.12,54.03,48.07,39.74,Health Care,202485109.3,1.044606991
AZPN,83.38,54.03,66.01,67.81,Information Technology,10550248611,0.658013023
AUTL,2.84,19.58,19.55,13.99,Health Care,294541728.8,0.693039166
ACNB,26.65,30.98,94.12,50.58,Financials,296909654.8,0.413894495
AMTX,55.78,30.98,67.78,51.51,Utilities,311096953,1.740352524
BGNE,81,93.03,68.34,80.79,Health Care,18705400570,1.433571751
AFMD,18.39,54.03,40.32,37.58,Health Care,589714349.4,1.243048219
AAME,52.08,63.8,5.62,40.5,Financials,60728156.48,0.43776281
AXDX,13.98,54.03,29.43,32.48,Health Care,68302870.33,1.071662848
ALIM,19.4,66.44,66.77,50.87,Health Care,38459597,0.717883044
AGRX,4.1,54.03,43.16,33.76,Health Care,7572199.5,1.781892514
ADI,75.43,94.83,67.02,79.09,Information Technology,82762287809,1.370703552
AMBA,87.74,73.61,23.25,61.53,Information Technology,3232306792,2.56288053
BCEL,11.04,30.98,9.37,17.13,Health Care,80656101.24,1.609121564
ANIK,26.6,22.87,29.94,26.47,Health Care,313761727.2,0.82715497
BBCP,65.5,44.55,26.95,45.67,Industrials,308668407,0.602743064
AVID,66.77,42.43,59.68,56.29,Information Technology,1434791057,1.747345533
ALRS,53.9,38.93,70.57,54.47,Financials,434634775.5,0.690733232
ASPS,86.27,17.15,38.2,47.21,Financials,168919440.1,0.930695735
AKTS,4.71,23.35,27.25,18.44,Information Technology,251272963,2.052747844
ATEX,85.66,43.29,47.37,58.77,Communication Services,961560505.5,0.476948505
APVO,13.68,54.03,60.64,42.78,Health Care,22432439.68,1.473334048
ARTNA,71.63,15.02,54.15,46.94,Utilities,433062000.2,0.365709912
ADVM,5.78,54.03,28.88,29.56,Health Care,109630591.9,0.945791202
BELFA,83.21,68.54,76.06,75.94,Information Technology,218459606.7,0.623874733
BLI,23.05,5.17,35.03,21.08,Health Care,366229036.8,2.072825009
ARDX,7.45,66.44,71.53,48.47,Health Care,114272107.8,0.317809349
ACER,1.98,5.17,41.03,16.06,Health Care,30194614.84,0.823337893
APLS,21.07,54.03,67.48,47.53,Health Care,4787059665,1.361598446
AUTO,20.52,23.73,86.58,43.61,Communication Services,36954521.87,1.237653235
ACOR,26.39,66.44,46.25,46.36,Health Care,17404183.16,1.203248118
AXGN,78.72,54.03,59.12,63.96,Health Care,314826645,1.833026696
BHF,74.87,63.8,86.52,75.07,Financials,3970061679,1.443992316
ATRC,32.88,75.58,87.23,65.23,Health Care,2533204755,1.542372889
AZTA,90.78,87.72,91.08,89.86,Health Care,5629186362,1.708418867
AFRM,40.73,8.59,45.67,31.66,Information Technology,8636113761,3.218816453
BBGI,65.35,69.88,15.2,50.14,Communication Services,48470170.65,0.793244534
ALJJ,54.15,30.98,16.82,33.98,Information Technology,100933015.4,1.019158079
AAOI,85.16,23.35,61.09,56.53,Information Technology,71304106.37,1.067511523
BCML,25.99,19.58,93.97,46.51,Financials,303016787.6,0.208774247
AMWD,73.76,62.46,79.48,71.9,Industrials,795886830.6,1.216395475
BKNG,56.28,89.77,84.65,76.9,Consumer,89371741901,1.286177144
ADMA,22.64,41.13,9.32,24.37,Health Care,370613458.5,0.793276758
AMCX,67.98,23.73,18.29,36.67,Communication Services,1430914759,1.209202849
ABEO,3.34,66.44,12.11,27.3,Health Care,31697490.22,1.292036881
AGTC,1.01,30.98,61.65,31.21,Health Care,46725436.32,1.189743504
AMOT,81.97,80.4,49.65,70.67,Industrials,372410479.7,1.375167873
ALBO,17.43,66.44,60.18,48.02,Health Care,629817962.4,0.866143752
ANIP,29.43,41.13,36.63,35.73,Health Care,520925993.1,0.726391675
ATHE,13.22,66.44,3.9,27.85,Health Care,28710002.04,0.642243272
AEHL,13.42,13.88,57.35,28.22,Industrials,6695080.44,1.472626146
ASRT,49.54,54.03,31.05,44.88,Health Care,99731066.6,1.691677613
APWC,29.28,72.04,2.58,34.63,Industrials,29481204.61,0.737931776
ALT,4.26,54.03,48.38,35.55,Health Care,204011059,1.174871203
APLT,11.04,30.98,77.96,39.99,Health Care,53785708.55,1.752804103
BELFB,83.21,68.54,76.06,75.94,Information Technology,218459606.7,1.14920558
ACET,6.84,30.98,82.67,40.16,Health Care,611422391.4,1.75352213
AVNW,62.11,8.59,43.97,38.22,Information Technology,348808357.4,1.275815848
ARTW,59.37,13.88,79.58,50.95,Industrials,13163675.48,0.186894888
ARGX,36.42,5.17,62.66,34.75,Health Care,15729137464,0.843430844
AXNX,28.93,30.98,59.83,39.91,Health Care,2710908780,1.672843828
AVAV,84.6,90.55,21.53,65.56,Industrials,2135905768,0.55031373
BIDU,43.41,83.84,5.93,44.39,Communication Services,44182088592,1.401118951
BAND,66.06,54.03,32.83,50.97,Communication Services,587481844,1.149596772
ACRS,5.22,30.98,49.04,28.41,Health Care,799555325.8,1.063670555
BBI,0.96,30.98,4.31,12.08,Health Care,26919577.99,0.953357224
BLIN,58.97,8.59,50.96,39.51,Information Technology,14898242.96,1.334224515
ALTM,44.43,72.67,10.54,42.54,Utilities,4749871182,
ALKS,84.55,83.84,46.61,71.66,Health Care,4719770114,0.751753574
AFYA,44.93,99.01,37.69,60.55,Consumer,1370091748,0.873813776
ATHX,4.56,54.03,9.07,22.55,Health Care,143599294.8,0.827656974
ABMD,85.51,83.84,57.29,75.55,Health Care,13012661950,1.495345675
AMD,69.96,98.07,71.12,79.72,Information Technology,1.45555E+11,2.02999873
AAON,83.33,30.98,46.2,53.5,Industrials,2602239701,0.851582138
AGYS,64.08,68.54,48.43,60.35,Information Technology,931483173.1,1.549297509
ANSS,87.39,98.28,51.42,79.03,Information Technology,24361203576,1.505598084
BCOR,40.48,38.93,85.51,54.97,Financials,1000548567,1.034561733
AMZN,85.97,97.16,91.89,91.68,Consumer,1.26671E+12,1.35250354
ATRI,23.71,17.4,79.43,40.18,Health Care,1146891946,0.455638692
ADMP,2.79,16.13,21.73,13.55,Health Care,63397064.4,0.331522447
APOG,75.48,71.28,75.18,73.98,Industrials,997135990.6,1.206961602
AEHR,58.31,8.59,50.96,39.29,Information Technology,219421040.1,2.274228226
BFIN,20.97,16.13,59.07,32.06,Financials,133761622.8,0.370713657
ALCO,49.09,30.98,29.99,36.69,Consumer,298194721.8,0.254521801
AVRO,11.04,30.98,19.05,20.36,Health Care,40589650.98,1.514507283
ACGL,69.45,85.99,60.44,71.96,Financials,17238533279,0.753266116
BIGC,65.25,8.59,45.67,39.83,Information Technology,1364550995,2.307175626
APYX,49.04,54.03,39.77,47.61,Health Care,130483965.7,1.663392713
AVCO,2.03,30.98,51.87,28.29,Health Care,48655514.24,1.043841505
AXON,78.88,83.84,36.27,66.33,Industrials,8253921484,1.456543838
ASRV,22.75,38.93,62.41,41.36,Financials,67580881.8,0.049976402
BBIO,53.29,75.58,15.5,48.13,Health Care,1243574791,0.778207728
AMPH,34.8,30.98,57.4,41.06,Health Care,1723542151,0.098187561
ARVN,17.88,54.03,32.73,34.88,Health Care,2980483830,1.08685752
ARKR,24.72,30.98,1.98,19.22,Consumer,63040296.5,0.426569091
BLKB,80.29,30.98,51.37,54.21,Information Technology,3119763825,1.350045933
BKR,97.92,99.9,69.05,88.96,Utilities,31687910517,0.181904896
BANF,46.86,30.98,92.65,56.83,Financials,2711969395,0.566363979
ABNB,43.06,12.01,55.85,36.97,Consumer,98641312331,1.698333637
ATLC,54,30.98,7.19,30.72,Financials,679304230.9,1.922535777
ALTO,63.93,94.02,83.94,80.63,Utilities,423011889.1,1.314710843
ACRX,3.29,30.98,56.79,30.35,Health Care,35894597.71,1.194988947
AMED,68.19,66.44,93.21,75.95,Health Care,4132839402,1.353468223
AIMC,80.95,72.04,82.73,78.57,Industrials,2539907147,1.455708729
APPF,66.26,54.03,62.72,61,Information Technology,3644824406,1.096313641
ALLK,46.96,54.03,26.85,42.61,Health Care,214115478.7,0.483372805
AEIS,92.91,93.03,89.01,91.65,Information Technology,2922817022,1.500512358
BCOV,65.1,54.03,65.1,61.41,Information Technology,293357741.3,1.125874684
BBQ,28.12,54.03,7.45,29.86,Consumer,147817463.8,0.97524367
AXSM,11.04,54.03,5.32,23.46,Health Care,1324617242,1.451798014
ALDX,11.04,5.17,41.03,19.08,Health Care,177819547.5,1.0783458
BIIB,94.22,94.43,85.26,91.3,Health Care,30507330393,0.636148269
AVT,98.18,95.57,96.71,96.82,Information Technology,4306787432,1.10088806
ANTE,59.12,10.56,6.28,25.32,Communication Services,20820605.13,0.856324819
AVDL,13.17,75.58,31.51,40.09,Health Care,296341829.7,0.328532744
ANAB,20.72,30.98,6.33,19.34,Health Care,677874863.3,0.979020788
ABST,75.53,83.84,72.8,77.39,Information Technology,407796272.7,1.01679027
ASTC,0.81,13.88,57.07,23.92,Industrials,26549216.92,0.71778443
AQB,1.62,5.17,41.03,15.94,Health Care,96709193.36,1.569919744
AGEN,33.38,30.98,45.09,36.48,Health Care,524330803.4,1.412260025
BFST,33.33,30.98,99.65,54.65,Financials,501385567.5,0.678790044
ACHC,44.73,66.44,81.81,64.33,Health Care,6056981821,1.088578646
ADP,79.69,87.72,98.28,88.56,Information Technology,91620305377,0.848651045
ATLO,23.51,16.13,22.64,20.76,Financials,210029057.7,0.204048064
AAPL,44.38,95.57,37.39,59.11,Information Technology,2.55661E+12,1.250242286
ATRO,34.75,72.04,93.77,66.85,Industrials,307287431.6,0.941427235
AMRN,35.06,41.13,9.93,28.71,Health Care,1083094224,0.751121889
BANR,39.26,54.03,99.95,64.41,Financials,1852108161,0.927691294
ARLP,45.74,15.02,52.18,37.65,Utilities,2255171233,0.467098392
BKSC,15.55,30.98,88.45,44.99,Financials,99964072.76,0.14063613
AMEH,40.43,54.03,40.07,44.84,Health Care,2159551171,2.178787903
ARWR,26.85,22.87,9.57,19.77,Health Care,4540040774,1.680683012
ALTR,70.16,87.72,16.36,58.08,Information Technology,4428616672,1.35518454
ACTG,25.84,30.98,49.19,35.33,Industrials,223543225.2,1.346076905
ALLO,17.27,54.03,44.98,38.76,Health Care,1307921807,1.686643406
AIRG,17.83,30.98,23.51,24.11,Information Technology,86812290.72,0.832419021
AEP,99.75,73.2,78.06,83.67,Utilities,50394089991,0.277552278
APPN,66.41,30.98,11.04,36.14,Information Technology,3681641945,1.933382002
BBSI,40.83,44.55,75.08,53.49,Industrials,530843733,0.646452279
ALEC,47.16,54.03,12.66,37.95,Health Care,839935373.8,1.600437286
BLMN,85.56,43.95,36.22,55.24,Consumer,2068743234,1.436649837
AXTI,60.89,42.43,15.75,39.69,Information Technology,254274963.8,1.738716841
ADPT,30.24,54.03,35.03,39.77,Health Care,1231648400,1.98120304
AVTX,4.41,30.98,14.89,16.76,Health Care,47384844.68,1.080992015
BIMI,69.55,66.44,12.61,49.54,Health Care,10048486.08,1.723031866
AVEO,17.68,30.98,30.04,26.23,Health Care,178923744.9,1.272670571
BCPC,85.92,81.16,80.04,82.37,Utilities,3922850870,0.725841204
ATNI,76.55,73,79.64,76.39,Communication Services,619478393,0.353885691
ASTE,87.99,80.4,83.38,83.92,Industrials,909564341.6,1.225778417
ACHV,48.73,19.58,21.68,30,Health Care,65093778.99,0.796140482
